category,field,subfield,detail,year,question,answer,choice1,choice2,choice3,choice4,time_limit,commentary
応用情報技術者試験,テクノロジ系,コンピュータシステム,システム構成要素,2025,"<p>現状の HPC (High Performance Computing) マシンの構成を、次の条件で更新することにした。更新後の、ノード数と総理論ピーク演算性能はどれか。ここで、総理論ピーク演算性能は、コア数に比例するものとする。
[現状の構成]
(1)一つのコアの理論ピーク演算性能は 10 GFLOPSである。
(2)一つのノードのコア数は8である。
(3)ノード数は1,000である。
[更新条件]
(1)一つのコアの理論ピーク演算性能を現状の2倍にする。
(2)一つのノードのコア数を現状の2倍にする。
(3)総コア数を現状の4倍にする。</p><img src='/images/2025r07a_ap_am_qs_11.png' alt='表' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>",イ,ア,イ,ウ,エ,300,""
応用情報技術者試験,テクノロジ系,コンピュータシステム,システム構成要素,2025,"IaC (Infrastructure as Code) の説明として、適切なものはどれか。","システムの構成、設定などをプログラムとして記述し、専用のソフトウェアがその内容に従って自動的にシステムに適用する。","OS, 仮想化ソフトなどが何もインストールされていない、初期状態のサーバである。","サーバなどの新規利用申請があった場合に、資源の割当て、設定などを手動で行い、利用可能な状態にする。","システムの構成、設定などをプログラムとして記述し、専用のソフトウェアがその内容に従って自動的にシステムに適用する。","利用者は、OS, アプリケーションなどの任意のソフトウェアをインフラストラクチャに手動で実装し、操作することができる。",60,""
応用情報技術者試験,テクノロジ系,コンピュータシステム,システム構成要素,2025,"コンピュータシステムの信頼性に関する記述のうち、適切なものはどれか。","MTBF / (MTBF+MTTR) は、システムが稼働している時間の割合を表す。","MTBF / (MTBF+MTTR) は、システムが稼働している時間の割合を表す。","MTBF-MTTRは、システムが正常であった時間を表す。","MTBFは、正常なシステムが運用を開始してから初めて故障が起きるまでの時間を表す。","MTTRは、システムの故障が回復した時点から次に故障が起きるまでの平均時間を表す。",60,""
応用情報技術者試験,テクノロジ系,コンピュータシステム,システム構成要素,2025,"キャパシティプランニングの目的の一つに関する記述のうち、最も適切なものはどれか。","システムの現在の応答時間を調査して、長期的に監視することによって、将来を含めて応答時間を維持することである。","応答時間に最も影響があるボトルネックだけに着目して、適切な変更を行うことによって、そのボトルネックの影響を低減又は排除することである。","システムの現在の応答時間を調査して、長期的に監視することによって、将来を含めて応答時間を維持することである。","ソフトウェアとハードウェアをチューニングして、現状の処理能力を最大限に引き出して、スループットを向上させることである。","パフォーマンスの問題はリソースの過剰使用によって発生するので、特定のリソースの有効利用を向上させることである。",60,""
応用情報技術者試験,テクノロジ系,コンピュータシステム,ソフトウェア,2025,"<p>五つのジョブA~Eに対して、ジョブの多重度が1で、処理時間順方式のスケジューリングを適用した場合、ジョブBのターンアラウンドタイムは何秒か。ここで、OSのオーバーヘッドは考慮しないものとする。</p><img src='/images/2025r07a_ap_am_qs_15.png' alt='表' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>","11","8","9","10","11",300,""
応用情報技術者試験,テクノロジ系,コンピュータシステム,ソフトウェア,2025,"一つの(I^2)C バスに接続された二つのセンサーがある。それぞれのセンサー値を読み込む二つのタスクを排他的に制御したい。利用するリアルタイム OS の機能として、適切なものはどれか。","セマフォ","キュー","セマフォ","マルチスレッド","メモリプール",60,""
応用情報技術者試験,テクノロジ系,コンピュータシステム,ソフトウェア,2025,"スレッドセーフの説明として、適切なものはどれか。","アプリケーションを複数のスレッドで並列に実行しても、問題が生じない。","アプリケーションが複数のスレッドから呼び出されないようになっている。","アプリケーションを複数のスレッドではなく、単一のスレッドで動作させる。","アプリケーションを複数のスレッドで並列に実行しても、問題が生じない。","スレッドの競合が発生したときに、アプリケーションを安全に停止させる。",60,""
応用情報技術者試験,テクノロジ系,コンピュータシステム,ソフトウェア,2025,"二つのタスクが共用する二つの資源を排他的に使用するとき、デッドロックが発生するおそれがある。このデッドロックの発生を防ぐ方法はどれか。","資源獲得の順序を両方のタスクで同じにする。","一方のタスクの優先度を高くする。","資源獲得の順序を両方のタスクで同じにする。","資源獲得の順序を両方のタスクで逆にする。","両方のタスクの優先度を同じにする。",60,""
応用情報技術者試験,テクノロジ系,コンピュータシステム,ソフトウェア,2025,"<p>4 ブロックのキャッシュメモリ CO~C3 が表に示す状態である。ここで、新たに別のブロックの内容をキャッシュメモリにロードする必要が生じたとき、C2 のブロックを置換の対象とするアルゴリズムはどれか。</p><img src='/images/2025r07a_ap_am_qs_19.png' alt='表' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>","LRU","FIFO","LFU","LIFO","LRU",60,""
応用情報技術者試験,テクノロジ系,コンピュータシステム,ハードウェア,2025,"<p>図のLED 点灯回路において、LEDに10ミリ Aの電流が流れるように抵抗値を決定したときに、回路全体の消費電力に占めるLEDの消費電力の割合は何%か。ここで、LED の順方向電圧は2Vとし、電源の消費電力は無視するものとする。</p><img src='/images/2025r07a_ap_am_qs_20.png' alt='表' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>","20","20","25","80","100",300,""
応用情報技術者試験,テクノロジ系,コンピュータシステム,ハードウェア,2025,"組込みシステムのプログラムで、放された状態では0になり、押された状態では1になるスイッチの値を読み込んでいる。aが今回の値で、bが前回の値とする。このスイッチが放された状態から押された状態に変化したことを検出するための論理式はどれか。ここで、“・”は論理積,“+”は論理和、“(否定)”は論理否定を表す。","a・(bの否定)","a・(bの否定)","(aの否定)・b","a + (bの否定)","(aの否定) + b",60,""
応用情報技術者試験,テクノロジ系,コンピュータシステム,ハードウェア,2025,"<p>入力がAとB、出力がYの論理回路を動作させたとき、図のタイミングチャートが得られた。この論理回路として、適切なものはどれか。</p><img src='/images/2025r07a_ap_am_qs_22.png' alt='図' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>",ウ,ア,イ,ウ,エ,60,""
応用情報技術者試験,テクノロジ系,コンピュータシステム,ハードウェア,2025,"16 ビットのダウンカウンターを用い、カウンターの値が0になると割込みを発生するハードウェアタイマーがある。カウンターに初期値として10進数の150 をセットしてタイマーをスタートすると、最初の割込みが発生するまでの時間は何マイクロ秒か。ここで、タイマーの入力クロック周波数は16MHzを32分周したものとする。","300","0.3","2","150","300",300,""
応用情報技術者試験,テクノロジ系,技術要素,ユーザーインターフェース,2025,"画面サイズの制約によって、レイアウト上、常にメニューを表示しておくことが難しいときに使用する仕組みであって、三本線のアイコンを選択するとメニューが表示されるものはどれか。","ハンバーガーメニュー","アコーディオンメニュー","ドロップダウンメニュー","ハンバーガーメニュー","ポップアップメニュー",60,""
応用情報技術者試験,テクノロジ系,基礎理論,基礎理論,2025,"0kHz~20kHz の帯域幅のオーディオ信号をデジタル信号に変換するのに必要な最大のサンプリング周期を標本化定理によって求めると、何マイクロ秒か。","25","2.5","5","25","50",300,""
応用情報技術者試験,テクノロジ系,技術要素,データベース,2025,"BASE 特性を満たし、次の特徴をもつ NoSQL データベースシステムに関する記述のうち、適切なものはどれか。
[NoSQLデータベースシステムの特徴]
・ネットワーク上に分散した複数のノードから構成される。
・一つのノードでデータを更新した後、他の全てのノードにその更新を反映する。","データの更新結果は、システムに障害がなければ、いつかは全てのノードに反映される。","クライアントからの更新要求を2相コミットによって全てのノードに反映する。","データの更新結果は、システムに障害がなければ、いつかは全てのノードに反映される。","同一の主キーの値による同時の参照要求に対し、全てのノードは同じ結果を返す。","ノード間のネットワークが分断されると、クライアントからの処理要求を受け付けなくなる。",60,""
応用情報技術者試験,テクノロジ系,技術要素,データベース,2025,"“売上”表への次の検索処理のうち、B 木インデックスよりもハッシュインデックスを設定した方が適切なものはどれか。ここで、インデックスを設定する列を＜＞内に示す。
売上（伝票番号、売上年月日、商品名、利用者ID、店舗番号、売上金額）","利用者ID が '1001' の売上を検索する。＜利用者ID＞","売上金額が1万円以上の売上を検索する。＜売上金額＞","売上年月日が今月の売上を検索する。＜売上年月日＞","商品名が 'DB' で始まる売上を検索する。＜商品名＞","利用者ID が '1001' の売上を検索する。＜利用者ID＞",60,""
応用情報技術者試験,テクノロジ系,技術要素,データベース,2025,"関係データベースのビューに関する記述のうち、適切なものはどれか。","ビューの列名は、基の表の列名と異なる名称で定義することができる。","ビューの列名は、基の表の列名と異なる名称で定義することができる。","ビューは、基の表から指定した列を抜き出すように定義するものであり、行を抜き出すように定義することはできない。","二つ以上の表の結合によって定義されたビューは、結合の仕方によらず更新操作ができる。","和両立な二つの表に対し、和集合演算を用いてビューを定義することはできない。",60,""
応用情報技術者試験,テクノロジ系,技術要素,データベース,2025,"RDBMS において、同じデータ項目の異なる版を用意することによって、トランザクションの同時実行性を高める仕組みはどれか。","MVCC","2相ロッキングプロトコル","MVCC","WAL プロトコル","共有ロック",60,""
応用情報技術者試験,テクノロジ系,技術要素,ネットワーク,2025,"100M ビット/秒のLANと1G ビット/秒のLANがある。ヘッダーを含めて1,250バイトのパケットをN個送信するときに、100M ビット/秒のLAN の送信時間が1Gビット/秒のLAN より 9ミリ秒多く掛かった。Nは幾らか。ここで、パケット送信間隔は1ミリ秒とし、送信時間に含める。","100","10","80","100","800",300,""
応用情報技術者試験,テクノロジ系,技術要素,ネットワーク,2025,"リバースプロキシの説明として、適切なものはどれか。","インターネットから内部ネットワークの公開 Web サーバへの通信を、中継するために利用される。","インターネットから内部ネットワークの公開 Web サーバへの通信を、中継するために利用される。","インターネットと内部ネットワークとの通信を監視し、インターネットからの攻撃を検知するための技術である。","仮想的な専用ネットワークを確立するための技術である。","内部ネットワークのPCからインターネットへの通信を、中継するために利用される。",60,""
応用情報技術者試験,テクノロジ系,技術要素,ネットワーク,2025,"IPv4のアドレス割当てを行う際に、クラスA~Cといった区分にとらわれずに、ネットワークアドレス部とホストアドレス部を任意のブロック単位に区切り、IP アドレスを無駄なく効率的に割り当てる方式はどれか。","CIDR","CIDR","DHCP","DNS","NAPT",60,""
応用情報技術者試験,テクノロジ系,技術要素,ネットワーク,2025,"UDP のヘッダーフィールドにはないが、TCP のヘッダーフィールドには含まれる情報はどれか。","シーケンス番号","宛先ポート番号","シーケンス番号","送信元ポート番号","チェックサム",60,""
応用情報技術者試験,テクノロジ系,技術要素,ネットワーク,2025,"複数台のレイヤー2 スイッチで構成されるネットワークが複数の経路をもつ場合に、イーサネットフレームのループが発生することがある。そのループの発生を防ぐためのTCP/IP ネットワークインタフェース層のプロトコルはどれか。","スパニングツリープロトコル","IGMP","RIP","SIP","スパニングツリープロトコル",60,""
応用情報技術者試験,テクノロジ系,技術要素,ネットワーク,2025,"ビット誤り率が0.0001%の回線を使って、1,500バイトのパケットを10,000個送信するとき、誤りが含まれるパケットの個数の期待値はおよそ幾らか。","120","10","15","80","120",300,""
応用情報技術者試験,テクノロジ系,技術要素,セキュリティ,2025,"サイバー攻撃の攻撃段階をモデル化したサイバーキルチェーンにおいて、“エクスプロイト”に該当する行為はどれか。","標的とする組織のPCでOSの脆弱性を悪用し、攻撃ツールを実行させる。","公開情報の閲覧、顧客を装った電子メールでの問合せなどを行い、標的とする組織を調査する。","標的とする組織のPCでOSの脆弱性を悪用し、攻撃ツールを実行させる。","標的とする組織のサーバから秘密情報を窃取し、攻撃者が用意したサーバに送信する。","標的とする組織の従業員にマルウェアを添付した電子メールを送りつける。",60,""
応用情報技術者試験,テクノロジ系,技術要素,セキュリティ,2025,"デジタル署名が付与されたソフトウェアをインストールするときに、そのソフトウェアの発行元を確認するために使用する証明書はどれか。","コードサイニング証明書","EV SSL証明書","クライアント証明書","コードサイニング証明書","サーバ証明書",60,""
応用情報技術者試験,テクノロジ系,技術要素,セキュリティ,2025,"サイドチャネル攻撃はどれか。","暗号化処理時における暗号化装置の消費電力などの測定や統計処理によって,当該装置内部の秘密情報を推定する攻撃","暗号化処理時における暗号化装置の消費電力などの測定や統計処理によって,当該装置内部の秘密情報を推定する攻撃","攻撃者が任意に選択した平文とその平文に対応した暗号文から数学的手法を用いて暗号鍵を推測し、同じ暗号鍵を用いて作成された暗号文を解読する攻撃","操作中の人の横から、入力操作の内容を観察することによって、利用者 IDとパスワードを盗み取る攻撃","無線LANのアクセスポイントを不正に設置し、チャネル間の干渉を発生させることによって、通信を妨害する攻撃",60,""
応用情報技術者試験,テクノロジ系,技術要素,セキュリティ,2025,"CRL に関する記述のうち、適切なものはどれか。","認証局は、有効期限内のデジタル証明書が失効されたとき、そのシリアル番号を CRL に記載する。","RFC 5280では、認証局は、発行したデジタル証明書のうち失効したものについては、シリアル番号を失効後1年間CRLに記載するよう義務付けている。","Web サイトの利用者の Web ブラウザは、そのWebサイトにサーバ証明書を発行した認証局の公開鍵が Web ブラウザに組み込まれていれば、CRL を参照しなくてもよい。","認証局は、発行した全てのデジタル証明書の有効期限を CRLに記載する。","認証局は、有効期限内のデジタル証明書が失効されたとき、そのシリアル番号を CRL に記載する。",60,""
応用情報技術者試験,テクノロジ系,技術要素,セキュリティ,2025,"ある組織ではCSIRTとPSIRT が設置されている。セキュリティインシデントのうち、PSIRT が対応するものはどれか。","組織が顧客に販売した製品とその利用において発生したセキュリティインシデント","組織が顧客に販売した製品とその利用において発生したセキュリティインシデント","組織が製品の在庫を管理するシステムにおいて発生したセキュリティインシデント","組織が製品の販売を管理するシステムにおいて発生したセキュリティインシデント","組織の従業員の個人情報を管理するシステムにおいて発生したセキュリティインシデント",60,""
応用情報技術者試験,テクノロジ系,技術要素,セキュリティ,2025,"JIS Q 27000:2019 における真正性及び信頼性に対する定義a~dの組みのうち、適切なものはどれか。
[定義]
a: 意図する行動と結果とが一貫しているという特性
b: エンティティは、それが主張するとおりのものであるという特性
c: 認可されたエンティティが要求したときに、アクセス及び使用が可能であるという特性
d: 認可されていない個人、エンティティ又はプロセスに対して、情報を使用させず、また、開示しないという特性","真正性:b, 信頼性:a","真正性:b, 信頼性:a","真正性:b, 信頼性:c","真正性:d, 信頼性:a","真正性:d, 信頼性:c",60,""
応用情報技術者試験,テクノロジ系,技術要素,セキュリティ,2025,"CSPM (Cloud Security Posture Management) はどれか。","クラウドサービスにおける情報漏えいなどのリスクを低減するために、設定の監視を行ったり、自動的に不備を修正したりするサービス","クラウドサービスにおける情報漏えいなどのリスクを低減するために、設定の監視を行ったり、自動的に不備を修正したりするサービス","従業員からの情報セキュリティマネジメントシステムに関する問合せに応じ、必要な支援を行うクラウドサービス","従業員によるインターネット上の SaaS の利用状況を可視化することによって、ポリシー違反を検出し、接続制限を行うサービス","ファイアウォール、マルウェア検知などのセキュリティ機能を統合し、パッケージとして提供するクラウドサービス",60,""
応用情報技術者試験,テクノロジ系,技術要素,セキュリティ,2025,"脆弱性検査で、ホストに対してポートスキャンを行う。スキャンしたポートの状態を判定する方法のうち、適切なものはどれか。","ポートに UDP パケットを送信してメッセージ “ICMP port unreachable” を受信したとき、対象ポートが閉じていると判定する。","ポートに SYN パケットを送信して “RST/ACK"" パケットを受信したとき、接続要求が許可されたと判定する。","ポートに SYN パケットを送信して “SYN/ACK” パケットを受信したとき、接続要求が中断又は拒否されたと判定する。","ポートに UDP パケットを送信してメッセージ “ICMP port unreachable” を受信したとき、対象ポートが閉じていると判定する。","ポートに UDP パケットを送信してメッセージ “ICMP port unreachable” を受信したとき、対象ポートが開いていると判定する。",60,""
応用情報技術者試験,テクノロジ系,技術要素,セキュリティ,2025,"デジタルフォレンジックスの手順は収集,検査,分析及び報告から成る。このとき、デジタルフォレンジックスの手順に含まれるものはどれか。","サーバのハードディスクを解析し、削除されたログファイルを復元することによって、不正アクセスの痕跡を発見する。","サーバとネットワーク機器のログをログ管理サーバに集約し、リアルタイムに相関分析することによって、不正アクセスを検出する。","サーバのハードディスクを解析し、削除されたログファイルを復元することによって、不正アクセスの痕跡を発見する。","電子メールを外部に送る際に、本文及び添付ファイルを暗号化することによって、情報漏えいを防ぐ。","プログラムを実行する際に、プログラムファイルのハッシュ値と脅威情報とを突き合わせることによって、プログラムがマルウェアかどうかを検査する。",60,""
応用情報技術者試験,テクノロジ系,技術要素,セキュリティ,2025,"電子メールの送信時に、送信側メールサーバでデジタル署名を電子メールヘッダーに付与し、受信側メールサーバでそれを検証することで、送信元ドメインのなりすましや電子メールの改ざんを検知できる技術はどれか。","DKIM","DKIM","OP25B","S/MIME","SPF",60,""
応用情報技術者試験,テクノロジ系,開発技術,システム開発技術,2025,"ソフトウェアの要件定義における利用者の分析で活用される、ソフトウェアの利用者を役割ごとに典型的な姿として描いた仮想の人物を何と呼ぶか。","ペルソナ","エピック","ステークホルダ","プロダクトオーナー","ペルソナ",60,""
応用情報技術者試験,テクノロジ系,開発技術,システム開発技術,2025,"UMLのダイアグラムのうち、インスタンス間の関係を表現するものはどれか。","オブジェクト図","アクティビティ図","オブジェクト図","コンポーネント図","ユースケース図",60,""
応用情報技術者試験,テクノロジ系,開発技術,システム開発技術,2025,"エラー埋込み法を用いて残存エラー数を推定する。当初の埋込みエラーは 48個である。テスト期間中に発見されたエラーの内訳は、埋込みエラーが36個、真のエラーが42個である。このとき、残存する真のエラーは何個と推定されるか。","14","6","14","54","56",300,""
応用情報技術者試験,テクノロジ系,開発技術,ソフトウェア開発管理技術,2025,"Web アプリケーションソフトウェアの処理方式の説明のうち、“プログレッシブ Web アプリ”の説明として、適切なものはどれか。","ブラウザが実行するサービスワーカーの機能を用いて、Webアプリケーションをオフラインで起動させたり、バックグラウンドでデータを同期させたりして、ネイティブアプリケーションであるかのようにWebアプリケーションを使えるようにする。","Web サーバ上に実行可能なプログラムを用意し, Web ブラウザからの要求に応じて、Web サーバがそのプログラムを呼び出し、処理結果を Web ブラウザに送信する。","Web ページの要素にその意味を表すメタデータを付加することによって、コンピュータが自動的にWeb ページの情報の収集や加工を行えるようにする。","新しいWeb サービスを、他のサービスが公開する WebAPI の機能を組み合わせることによって提供する。","ブラウザが実行するサービスワーカーの機能を用いて、Webアプリケーションをオフラインで起動させたり、バックグラウンドでデータを同期させたりして、ネイティブアプリケーションであるかのようにWebアプリケーションを使えるようにする。",60,""
応用情報技術者試験,テクノロジ系,開発技術,ソフトウェア開発管理技術,2025,"委託元への著作権の移転に関する条項を含むソフトウェア開発委託契約書に、“委託先は著作者人格権を行使しない”という記載があった。これはどのような問題の発生を防ぐためのものか。","納品されたソフトウェアを委託先の了解なく委託元で修正できなくなること、又は他の会社に修正を依頼できなくなることを防ぐ。","委託先で当該ソフトウェアを開発した開発者が、技術者倫理に関しての責任を負わなくなることを防ぐ。","委託先で当該ソフトウェアを開発した開発者を、委託元が後で雇用できなくなることを防ぐ。","納品されたソフトウェアに不具合が発見された場合に、委託先が金銭的補償を負わなくなることを防ぐ。","納品されたソフトウェアを委託先の了解なく委託元で修正できなくなること、又は他の会社に修正を依頼できなくなることを防ぐ。",60,""
応用情報技術者試験,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,2025,"プロジェクトマネジメントにおいて、スコープを対象とするプロセスを集めた対象群“スコープ”に含まれるプロセスはどれか。","WBSの作成","WBSの作成","活動期間の見積り","コストの見積り","予算の作成",60,""
応用情報技術者試験,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,2025,"チームの発展段階を五つに区分したタックマンモデルによれば、メンバーの異なる考え方や価値観が明確になり、メンバーがそれぞれの意見を主張し合う段階はどれか。","動乱期(Storming)","安定期 (Norming)","遂行期 (Performing)","成立期 (Forming)","動乱期(Storming)",60,""
応用情報技術者試験,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,2025,"あるプロジェクトは4月から9月までの6か月間で開発を進めており、現在のメンバー全員が9月末まで作業すれば完了する見込みである。しかし、他のプロジェクトで発生した緊急の案件に対応するために、8月初めから、4人のメンバーがプロジェクトから外れることになった。9月末に予定どおり開発を完了させるために、7月の半ばからメンバーを増員する。条件に従うとき、人件費は何万円増加するか。
[条件]
・元のメンバーと増員するメンバーの、プロジェクトにおける生産性は等しい。
・7月の半ばから7月末までの0.5か月間、元のメンバー4人から増員するメンバーに引継ぎを行う。
・引継ぎの期間中は、元のメンバー4人と増員するメンバーはプロジェクトの開発作業を実施しないが、人件費は全額をこのプロジェクトに計上する。
・人件費は、1人月当たり100万円とする。","450","200","250","450","700",300,""
応用情報技術者試験,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,2025,"<p>自動生産システムの増強に関するデシジョンツリーにおいて、新規にシステムを開発する場合の期待金額価値 (EMV) は何億円か。</p><img src='/images/2025r07a_ap_am_qs_54.png' alt='図' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>","14","14","20","26","64",300,""
応用情報技術者試験,マネジメント系,サービスマネジメント,サービスマネジメント,2025,"サービスマネジメントのサービス可用性管理において、インシデント又は将来インシデントとなる可能性のある事象について、その発生経路及び発生原因を分析し、発生確率の算出に使用できる技法はどれか。","故障の木解析(FTA)","故障の木解析(FTA)","故障モード・影響解析 (FMEA)","コンポーネント障害インパクト分析 (CFIA)","単一障害点分析(SPOF分析)",60,""
応用情報技術者試験,マネジメント系,サービスマネジメント,サービスマネジメント,2025,"サービスマネジメントにおける問題管理の活動はどれか。","根本原因の特定","根本原因の特定","サービス要求の優先度付け","変更要求の記録","リリースの検証",60,""
応用情報技術者試験,マネジメント系,サービスマネジメント,サービスマネジメント,2025,"生成 AI の処理などで用いられる、大量に発熱する GPUを搭載したサーバを、空気冷却よりも少ない消費電力で効率良く冷却できる液体冷却の一つに液浸冷却がある。液体冷却の方法の説明のうちで、液浸冷却の方法の説明に該当するものの組みはどれか。
[液体冷却の方法の説明]
a: 液体を循環させて熱交換器で冷やす単相冷却と、気化熱を利用する二相冷却がある。
b: サーバを取り付けた金属板と熱交換してサーバを冷却する。
c: サーバを筐体ごと液体に漬けで冷却する。
d: 冷媒となる液体として通常は水を使用する。","a, c","a, b","a, c","b, d","c, d",60,""
応用情報技術者試験,マネジメント系,サービスマネジメント,システム監査,2025,"システム監査基準(令和5年) において、システム監査で使用される用語の説明として、適切なものはどれか。","独立性とは、第三者から不当な影響や圧力等を受けていない状態のことである。","所見とは、他の標準的な監査人が監査を実施した場合であっても同じ検証結果を得られることである。","正当な懐疑心とは、客観性の保持という精神的な態度を堅持できることである。","正当な注意とは、監査で発見したことに基づく考えや意見のことである。","独立性とは、第三者から不当な影響や圧力等を受けていない状態のことである。",60,""
応用情報技術者試験,マネジメント系,サービスマネジメント,システム監査,2025,"システム監査報告書の改善提案に対し、システム監査人が行うフォローアップとして、適切なものはどれか。","改善提案に対する監査対象部門の改善状況をモニタリングする。","改善提案に対する改善の実施を監査対象部門の長に指示する。","改善提案に対する監査対象部門の改善実施プロジェクトの管理を行う。","改善提案に対する監査対象部門の改善状況をモニタリングする。","改善提案の内容を監査対象部門に示した上で改善計画を策定する。",60,""
