category,field,subfield,detail,year,question,answer,choice1,choice2,choice3,choice4,time_limit,commentary
基本情報技術者試験,テクノロジ系,開発技術,システム開発技術,2025,"E-Rモデルにおけるエンティティの特徴はどれか。","エンティティは、特性を表すための属性 (アトリビュート)をもつ。","エンティティとインスタンスとは、1対1の対応関係をとる。","エンティティとなり得るものは、物的に実現するものである。","エンティティは、特性を表すための属性 (アトリビュート)をもつ。","異なった種類のエンティティ間の関係は、主として状態遷移として表現される。",60,"「エンティティとインスタンスとは、1対1の対応関係をとる。」: エンティティは「型」であり、インスタンスはその型を基にした「実体」である。「顧客」というエンティティがあった場合、以下のように具体的な値を当てはめた多数のインスタンスが生成される。
・{顧客ID: C001, 名前: 田中太郎, 生年月日: 1985-03-21}
・{顧客ID: C002, 名前: 佐藤花子, 生年月日: 1992-07-15}
・{顧客ID: C003, 名前: 鈴木一郎, 生年月日: 1978-11-30}
通常は「エンティティ:インスタンス=1:N」の関係であり、1対1ではない。
「エンティティとなり得るものは、物的に実現するものである。」: E-Rモデルでは管理したい情報をエンティティとする。人や物などの物理的な存在だけではなく、概念・出来事・役割などの非物質的な存在もエンティティとすることができる。非物質的なエンティティの具体例としては、受注、売上、キャンペーン、発送などが挙げられる。
「エンティティは、特性を表すための属性 (アトリビュート)をもつ。」: 正しい。エンティティは、その実体の特性や状態を示す属性(アトリビュート)を1つ以上持つ。顧客情報における「顧客ID」や「名前」「住所」などが属性となる。
「異なった種類のエンティティ間の関係は、主として状態遷移として表現される。」: E-Rモデルは、日本語で「実体-関連モデル」と訳され、エンティティ間の静的な関連構造を表現するためのモデルである。エンティティ間の関係は関連(リレーションシップ)として示され、多重度(例: 1対多、多対多)などを表現する。状態遷移など動的な振る舞いを表現するものではない。"
基本情報技術者試験,テクノロジ系,開発技術,システム開発技術,2025,"オブジェクト指向プログラミングの特徴のうち、異なるクラスのオブジェクトを同一のインタフェースで操作したときに、操作対象クラスに応じた異なる動作を可能にすることを何と呼ぶか。","多相性","委譲","継承","コンポジション","多相性",60,"「委譲」: 委譲(デリゲーション)は、あるオブジェクトに操作を、他のオブジェクトに委ねる仕組みである。操作が呼び出されると、内部で別のオブジェクトを作成し、そのオブジェクトに処理を実行させる。
「継承」: 継承(インヘリタンス)は、あるクラスが他のクラスの属性や振る舞いを引き継ぐ仕組みである。上位クラスの特性を下位クラスが引き継ぐことにより、下位クラスでは独自の機能(差分)のみを定義だけで済む。
「コンポジション」: コンポジションとは、あるクラスが別のクラスのインスタンスを自分の中に持ち、それを構成要素として利用する関係である。これは分解-集約(has-a)関係の一種であり、部品がそれ単体では存在できず、全体に強く依存している関係を意味する。
「多相性」: 正しい。多相性(ポリモーフィズム)は、同じメッセージを送ってもオブジェクトによって異なる動作をする性質である。多態性・多様性とも呼ばれる。"
基本情報技術者試験,テクノロジ系,開発技術,ソフトウェア開発管理技術,2025,"アジャイル開発手法の一つであるスクラムにおいて、プロダクトバックログアイテムの内容や並び順を決定する役割をもつのは誰か。","プロダクトオーナ","開発者","顧客","スクラムマスタ","プロダクトオーナ",60,"スクラムは、アジャイル開発の方法論の一つで、開発プロジェクトを数週間程度の短期間(スプリントという)ごとに区切り、その期間内に分析、設計、実装、テストの一連の活動を行い、一部分の機能を完成させるという作業を繰り返しながら、段階的に動作可能なシステムを作り上げるフレームワークである。
スクラムではシステム開発を進めるためのチーム構成が決まっており、以下の3つの役割がある。
「プロダクトオーナ」: 開発する製品の方向性や優先順位を決める責任者。プロダクトバックログの管理を通じて価値の最大化を図る。開発への投資効果を最大にすることに責任をもつ
「開発チーム」: 実際に製品を設計・実装・テストするメンバーの集まり。自己管理のもとで高品質な成果を作り出す。バックログに入っている項目を完了状態にし、プロダクトの価値を高めていくことに責任をもつ
「スクラムマスター」: スクラムの正しい運用を支援し、チームが円滑に作業できるように障害を取り除くファシリテーター。スクラム全体をうまく回すことに責任をもつ
プロダクトバックログの管理を行うのは「プロダクトオーナ」である。"
基本情報技術者試験,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,2025,"<p>図は、あるプロジェクトの作業A～Iとその作業日数を表している。このプロジェクトの最短所要日数は何日か。</p><img src='/images/2025r07_fe_kamoku_a_14.png' alt='図' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>","31","27","28","29","31",300,"結合点を矢印で結ぶ作業の流れの全てを列挙すると、プロジェクト完了に至るまでに通る経路は7通りあり、これらクリティカルパスの候補について、それぞれの所要日数を考える(※ダミー作業は日数0日の作業としてカウントする)。
・A→F→D→I: 3 + 14 + 6 + 5 = 28日
・A→B→G→(上のダミー)→D→I: 3 + 6 + 11 + 0 + 6 + 5 = 31日
・A→B→C→D→I: 3 + 6 + 8 + 6 + 5 = 28日
・A→B→H→I: 3 + 6 + 15 + 5 = 29日
・A→E→(下のダミー)→G→(上のダミー)→D→I: 3 + 5 + 0 + 11 + 0 + 6 + 5 = 30日
・A→E→(下のダミー)→C→D→I: 3 + 5 + 0 + 8 + 6 + 5 = 27日
・A→E→(下のダミー)→H→I: 3 + 5 + 0 + 15 + 5 = 28日
したがって、このプロジェクトのクリティカルパスは「A→B→G→(上のダミー)→D→I」、最短所要日数は31日となる。"
基本情報技術者試験,マネジメント系,サービスマネジメント,システム監査,2025,"サーバ室の物理的な安全対策の状況について、情報セキュリティ管理基準(平成28年)に照らして、情報セキュリティ監査を行って判明した状況のうち、監査人が、指摘事項として監査報告書に記載すべきものはどれか。","社外からサーバ室へ直接出入りするドアを設置しているが、出入りを考慮して常時施錠していない。","サーバが設置されている施設の無人領域では、営業時間中でも、警報装置が作動するようになっている。","サーバ室に非常口,避難器具,誘導灯などを設置している。","社外からサーバ室へ直接出入りするドアを設置しているが、出入りを考慮して常時施錠していない。","場所が分からないように、サーバ室の所在を室外に表示していない。",60,"「サーバが設置されている施設の無人領域では、営業時間中でも、警報装置が作動するようになっている。」: 「無人の領域では、常に警報装置を作動させる」とされているため、基準に合致している。
「サーバ室に非常口、避難器具、誘導灯などを設置している。」: 自然災害や人的災害からの損傷を回避するための物理的な保護を設計するとされているため、基準に合致している。
「社外からサーバ室へ直接出入りするドアを設置しているが、出入りを考慮して常時施錠していない。」: 正しい。「外部に接する全ての扉を、開閉制御の仕組み(例: かんぬき、警報装置、錠)によって、認可されていないアクセスから適切に保護する」とされているため、施錠をしない状況は指摘事項に該当する。
「場所が分からないように、サーバ室の所在を室外に表示していない。」: 「情報処理活動の存在を示すものは、建物の内外を問わず、一切表示しないように設計する」とされているため、基準に合致している。"
基本情報技術者試験,ストラテジ系,経営戦略,経営戦略マネジメント,2025,"データマイニングの手法の一つであって、POSなどの蓄積データから“一緒に買われる商品”の組合せを発見する分析手法はどれか。","マーケットバスケット分析","3C分析","ABC分析","コンジョイント分析","マーケットバスケット分析",60,"「3C分析」: 市場分析に必要不可欠な顧客(Customer)、自社(Company)、競合他社(Competitor)の3つの観点から自社の現状を把握する内部環境分析の手法である。
「ABC分析」: パレート図で表した要素・項目群を、A(上位70%)、B(70%～90%)、C(それ以外)というようにグルーピングすることで、重要度や優先度の高い要素・項目を明らかにする手法である。
「コンジョイント分析」: 顧客が商品を構成する要素(価格・デザイン・機能など)のうち、どの要素をどのくらい重視しているかを定量的に明らかにする手法である。最適な商品コンセプトを特定するために使われる。
「マーケットバスケット分析」: 正しい。買い物をする顧客がバスケット(買い物かご)にどの商品を一緒に入れているのか、すなわち同時に購入されている商品の組合せを明らかにする方法である。データ分析を行うことで、思いもよらない組合せが見つかることもあり、その分析結果を商品陳列や店舗レイアウト、仕入れに活用して売上向上を目指す。"
基本情報技術者試験,ストラテジ系,経営戦略,ビジネスインダストリ,2025,"インターネット上の生成AIサービスを利用する際に、オプトアウトを設定することはどのような場合に有効か。","個々の利用者が入力した情報を、生成AIの学習に利用させたくない場合","個々の利用者が、自身が生成AIから得た情報に対して、著作権を主張したい場合","個々の利用者が入力した情報を、生成AIの学習に利用させたくない場合","個々の利用者が入力した情報を、生成AIを通じて、他の利用者にも知ってほしい場合","生成AIから得た情報の信ぴょう性を高めたい場合",60,"ChatGPTに代表される生成AIのサービスでは、利用者が拒否の意思を示さない限り、入力した様々なデータはAIの学習データとして提供されるという方針(オプトアウト)が採用されている。
AIサービスは個人だけでなく企業や大学など広く利用され、チャットデータだけでなく業務に必要な分析データやプログラムのコードなど様々なデータが入力されている。その入力データは利用者が拒否しない限り、AIの訓練用データとして解析・利用されている。
これを明示的に拒否する設定がオプトアウトである。AIサービスでは「入力したデータを学習データとして提供しない」という選択を、申請フォームや設定画面などで受け付けている。特に個人情報や機密情報が含まれているデータを入力する際には、情報漏えいを防止するためにオプトアウト設定をすることが必須となる。
したがって適切な場合とは、「生成AIの学習に利用させたくない場合」となる。"
基本情報技術者試験,ストラテジ系,経営戦略,ビジネスインダストリ,2025,"物販事業において、ロングテールをビジネスとして成功させるために必要な施策はどれか。","豊富な品ぞろえと、在庫コストや配送費用を抑えるための大規模な物流センタの構築や活用","多くの有名ブランド店が出店するショッピングモールの構築","交通の利便性が高い地域に対する、生活必需品を広く浅く取りそろえた出店計画","店舗で購入した商品を近隣地域に無償で配送するサービスの実施","豊富な品ぞろえと、在庫コストや配送費用を抑えるための大規模な物流センタの構築や活用",60,"ロングテールは、膨大な商品を低コストで扱うことができるインターネットを使った商品・サービスの提供では、実店舗では陳列されにくい販売機会の少ない商品でも、それらを数多く取りそろえることによって十分な売上を確保できることを表す言葉である。
一般に商品の売上は「全体の2割の優良顧客が全体の売上の8割を占め、全商品の上位2割が8割の売上を占める」というパレートの法則に従うため、実店舗では売場面積や物流などの問題から上位20%の商品を優先的に販売している。しかし、インターネット販売では商品をデータベースに登録するだけで膨大な商品点数を揃えることができる。マイナー商品はほとんど売れないが、たまには売れる。小さいけれども確かにあるニッチ需要を幅広く拾うことで、実店舗では実現不可能部分で大きな売上を集めることができる。AmazonやNetflix、Spotifyなどがロングテール戦略で成功した企業の代表例である。
ロングテールの恩恵を受けることができるのは、扱える商品点数に限りがないインターネット販売である。実店舗販売ではロングテール戦略は成立しない。"
基本情報技術者試験,ストラテジ系,企業と法務,企業活動,2025,"<p>表の条件で喫茶店を開業したい。月10万円の利益を出すためには、1客席当たり1日平均何人の客が必要か。</p><img src='/images/2025r07_fe_kamoku_a_19.png' alt='表' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>","5","3.75","4","4.2","5",300,"利益は「売上高 - 費用」で求めることができる。来客数をnとすると、売上と費用はそれぞれ
・売上: 500n
・費用: 300,000 + 100n
月10万円の利益を出すために必要な来客数nは、
100,000 = 500n - (300,000 + 100n)
100,000 = 500n - 300,000 - 100n
400,000 = 400n
n = 1,000[人]
必要な来客数は1ヵ月間に1,000人であることがわかる。
1ヵ月の営業日は20日なので、1日当たりの来客数は「1,000人 ÷ 20日 = 50人」、席数が10なので1客席当たりの客数は「50人 ÷ 10席 = 5人」となる。"
基本情報技術者試験,ストラテジ系,企業と法務,企業活動,2025,"カーボンフットプリントの説明として、適切なものはどれか。","原材料調達から廃棄・リサイクルに至るまでのライフサイクル全体を通して排出される温室効果ガスの排出量を、CO2量に換算して、その値を商品やサービスに表示すること","温室効果ガスの排出量から吸収量と除去量を差し引いた合計をゼロにする取組","原材料調達から廃棄・リサイクルに至るまでのライフサイクル全体を通して排出される温室効果ガスの排出量を、CO2量に換算して、その値を商品やサービスに表示すること","自動車のエンジンから排出される一酸化炭素、窒素酸化物や炭化水素類などの大気汚染物質の排出量の定め","商品がどのような場所で作られて、流通し、販売されているかを把握するための仕組み",60,"「温室効果ガスの排出量から吸収量と除去量を差し引いた合計をゼロにする取組」: カーボンニュートラルの説明である。
「原材料調達から廃棄・リサイクルに至るまでのライフサイクル全体を通して排出される温室効果ガスの排出量を、CO2量に換算して、その値を商品やサービスに表示すること」: 正しい。カーボンフットプリントの説明である。
「自動車のエンジンから排出される一酸化炭素、窒素酸化物や炭化水素類などの大気汚染物質の排出量の定め」: 自動車排出ガス規制の説明である。
「商品がどのような場所で作られて、流通し、販売されているかを把握するための仕組み」: トレーサビリティの説明である。"
基本情報技術者試験,テクノロジ系,基礎理論,基礎理論,2024,"<p>X及びYはそれぞれ0又は1の値をとる変数である。X□YをXとYの論理演算としたとき、次の真理値表が得られた。X□Yの真理値表はどれか。</p><img src='/images/2024r06_fe_kamoku_a_1.png' alt='表' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>",ウ,ア,イ,ウ,エ,300,"<p>真理値表の演算結果のうち次に着目する。</p><img src='/images/2024r06_fe_kamoku_a_ans_1.png' alt='表' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>
Ⅰは、X OR (X□Y)の演算結果が1になっている。このときXの値は0なので、結果が1になるためにはX□Yは1である必要がある。選択肢のうち0□0が1であるのは「ウ」と「エ」である。
Ⅱは、X AND (X□Y)の演算結果が1になっている。このときXの値は1なので、結果が1になるためにはX□Yは1である必要がある。選択肢のうち1□1が1であるのは「ア」と「イ」と「ウ」である。
したがって両方の条件を満たす「ウ」の真理値表が正解となる。"
基本情報技術者試験,テクノロジ系,基礎理論,アルゴリズムとプログラミング,2024,"キーが小文字のアルファベット1文字 (a, b,･･･, zのいずれか)であるデータを、大きさが 10 のハッシュ表に格納する。ハッシュ関数として、アルファベットのASCII コードを10進表記法で表したときの1の位の数を用いることにする。衝突が起こるキーの組合せはどれか。ASCII コードでは、昇順に連続した2進数が、アルファベット順にコードとして割り当てられている。","dとx","aとi","bとr","cとl","dとx",300,"<p>設問で説明されているように、ASCIIコード上のアルファベットは並び順通りに連続した位置に配置されている。</p><img src='/images/2024r06_fe_kamoku_a_ans_2.png' alt='表' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>
ハッシュ表の大きさが10であり、ASCIIコードを10進表記法で表したときの1の位の数を格納位置として使うことがある。例えばアルファベットのAのアスキーコードは16進数で41、10進数では65なので、ハッシュ表の5番目に格納されるということである。
<p>格納対象のデータ数に対してハッシュ表が小さい場合、異なるデータの格納位置が同じ場所になってしまうことがある。これが衝突である。設問のハッシュ表では、10進表現の1の位が同じとなるアルファベット同士で衝突が発生することになる。ASCIIコード上のアルファベットは順番に並んでいるので、2つの文字の距離が10の倍数になっているものが衝突が起こるキーの組合せである。</p><img src='/images/2024r06_fe_kamoku_a_ans_2(1).png' alt='表' style='width: 100%; max-width: 400px; display: block; margin: 1em auto;'>
「aとi」: aとiの距離は8なので衝突は発生しない。
「bとr」: bとrの距離は16なので衝突は発生しない。
「cとl」: cとlの距離は9なので衝突は発生しない。
「dとx」: 正しい。dとxの距離は20であり、10の倍数なので衝突が発生する。"
